Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0000007												IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0000047		FMA:19650		PATO:0001920								IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0000252		FMA:46565		PATO:0000587								IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0000278												IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0000340												IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0000409		FMA:52781		PATO:0000587								IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0000432		FMA:59516		PATO:0001482								IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0000540												IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0000582												IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0000826												ITM							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0000957												IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0001256												ITM							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0001263												IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0001511												IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0001620												IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0001956												IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0002209		FMA:54241		PATO:0001609								IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0002750		GO:0070977		PATO:0000911								IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0002812												IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0002970												ITM							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0002979		FMA:24979		PATO:0000406								ITM							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0003015		FMA:24014		PATO:0001785								IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0003052												ITM							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0003169		FMA:16589		PATO:0000587								IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0003498												IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0004209		FMA:24949		HP:0001157								IEA							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0005978												ITM							17.02.2009	
MIM:210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II	MIM:605925			PCNT	HP:0006091		FMA:75436		PATO:0000470								IEA							17.02.2009	
