Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:607736		MIM:159440			MPZ	HP:0000006																			
MIM:607736		MIM:159440			MPZ	HP:0000374		FMA:65132		HP:0000404															
MIM:607736		MIM:159440			MPZ	HP:0000404		GO:0007605		PATO:0000462															
MIM:607736		MIM:159440			MPZ	HP:0000408																			
MIM:607736		MIM:159440			MPZ	HP:0000478				PATO:0000001									PATO:0000460						
MIM:607736		MIM:159440			MPZ	HP:0001265																			
MIM:607736		MIM:159440			MPZ	HP:0001284																			
MIM:607736		MIM:159440			MPZ	HP:0001761																			
MIM:607736		MIM:159440			MPZ	HP:0002015		GO:0043050		PATO:0001641															
MIM:607736		MIM:159440			MPZ	HP:0002086																			
MIM:607736		MIM:159440			MPZ	HP:0002934																			
MIM:607736		MIM:159440			MPZ	HP:0002935																			
MIM:607736		MIM:159440			MPZ	HP:0002936		FMA:30327		HP:0003474															
MIM:607736		MIM:159440			MPZ	HP:0003376																			
MIM:607736		MIM:159440			MPZ	HP:0003377																			
MIM:607736		MIM:159440			MPZ	HP:0003378																			
MIM:607736		MIM:159440			MPZ	HP:0003381																			
MIM:607736		MIM:159440			MPZ	HP:0003497		FMA:7182		HP:0002460															
MIM:607736		MIM:159440			MPZ	HP:0003693		_:distal_muscle		PATO:0001623															
