Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:307000		MIM:308840			L1CAM	HP:0000238		FMA:50801		PATO:0001853		FMA:20935													
MIM:307000		MIM:308840			L1CAM	HP:0000256		FMA:46565		PATO:0000586															
MIM:307000		MIM:308840			L1CAM	HP:0001181																			
MIM:307000		MIM:308840			L1CAM	HP:0001249																			
MIM:307000		MIM:308840			L1CAM	HP:0001258																			
MIM:307000		MIM:308840			L1CAM	HP:0001274				PATO:0001557		FMA:86464													
MIM:307000		MIM:308840			L1CAM	HP:0001331				PATO:0001557		FMA:61844													
MIM:307000		MIM:308840			L1CAM	HP:0001371		FMA:9721		PATO:0000574															
MIM:307000		MIM:308840			L1CAM	HP:0001419																			
MIM:307000		MIM:308840			L1CAM	HP:0002410																			
MIM:307000		MIM:308840			L1CAM	HP:0006849																			
MIM:307000		MIM:308840			L1CAM	HP:0007016																			
MIM:307000		MIM:308840			L1CAM	HP:0009600		FMA:35477		HP:0001371															
