Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:133540		MIM:609413			ERCC6	HP:0000007																			
MIM:133540		MIM:609413			ERCC6	HP:0000028																			
MIM:133540		MIM:609413			ERCC6	HP:0000054		FMA:9707		PATO:0000587															
MIM:133540		MIM:609413			ERCC6	HP:0000083		FMA:7203		PATO:0001511															
MIM:133540		MIM:609413			ERCC6	HP:0000093		FMA:12274		PATO:0002002		CHEBI:16541													
MIM:133540		MIM:609413			ERCC6	HP:0000252		FMA:46565		PATO:0000587															
MIM:133540		MIM:609413			ERCC6	HP:0000292																			
MIM:133540		MIM:609413			ERCC6	HP:0000303		FMA:46495		PATO:0001482															
MIM:133540		MIM:609413			ERCC6	HP:0000335																			
MIM:133540		MIM:609413			ERCC6	HP:0000374		FMA:65132		HP:0000404															
MIM:133540		MIM:609413			ERCC6	HP:0000377		FMA:52781		PATO:0000051									PATO:0000460						
MIM:133540		MIM:609413			ERCC6	HP:0000417		FMA:59518		PATO:0000592															
MIM:133540		MIM:609413			ERCC6	HP:0000482		FMA:58238		PATO:0000587															
MIM:133540		MIM:609413			ERCC6	HP:0000486																			
MIM:133540		MIM:609413			ERCC6	HP:0000515		FMA:58238		PATO:0000963															
MIM:133540		MIM:609413			ERCC6	HP:0000518																			
MIM:133540		MIM:609413			ERCC6	HP:0000540																			
MIM:133540		MIM:609413			ERCC6	HP:0000568																			
MIM:133540		MIM:609413			ERCC6	HP:0000580																			
MIM:133540		MIM:609413			ERCC6	HP:0000633																			
MIM:133540		MIM:609413			ERCC6	HP:0000639																			
MIM:133540		MIM:609413			ERCC6	HP:0000648		FMA:50863		PATO:0001623															
MIM:133540		MIM:609413			ERCC6	HP:0000670																			
MIM:133540		MIM:609413			ERCC6	HP:0000680																			
MIM:133540		MIM:609413			ERCC6	HP:0000684		FMA:75150		PATO:0000502															
MIM:133540		MIM:609413			ERCC6	HP:0000688																			
MIM:133540		MIM:609413			ERCC6	HP:0000689																			
MIM:133540		MIM:609413			ERCC6	HP:0000762																			
MIM:133540		MIM:609413			ERCC6	HP:0000822																			
MIM:133540		MIM:609413			ERCC6	HP:0000939				_:increased_bone_resorption_and__:decreased_osteogenesis									PATO:0001869						
MIM:133540		MIM:609413			ERCC6	HP:0000958		FMA:7163		PATO:0001824															
MIM:133540		MIM:609413			ERCC6	HP:0000970																			
MIM:133540		MIM:609413			ERCC6	HP:0000987																			
MIM:133540		MIM:609413			ERCC6	HP:0000992		FMA:54448		PATO:0000927															
MIM:133540		MIM:609413			ERCC6	HP:0001000																			
MIM:133540		MIM:609413			ERCC6	HP:0001249																			
MIM:133540		MIM:609413			ERCC6	HP:0001250																			
MIM:133540		MIM:609413			ERCC6	HP:0001251		GO:0050881		PATO:0000770															
MIM:133540		MIM:609413			ERCC6	HP:0001271																			
MIM:133540		MIM:609413			ERCC6	HP:0001337																			
MIM:133540		MIM:609413			ERCC6	HP:0001424																			
MIM:133540		MIM:609413			ERCC6	HP:0001511																			
MIM:133540		MIM:609413			ERCC6	HP:0001514		GO:0040007		PATO:0000911															
MIM:133540		MIM:609413			ERCC6	HP:0001518																			
MIM:133540		MIM:609413			ERCC6	HP:0001525																			
MIM:133540		MIM:609413			ERCC6	HP:0001595		FMA:53667		PATO:0000001									PATO:0000460						
MIM:133540		MIM:609413			ERCC6	HP:0001665																			
MIM:133540		MIM:609413			ERCC6	HP:0001744		FMA:7196		PATO:0000586															
MIM:133540		MIM:609413			ERCC6	HP:0002059																			
MIM:133540		MIM:609413			ERCC6	HP:0002135		FMA:62514		PATO:0001447															
MIM:133540		MIM:609413			ERCC6	HP:0002240		FMA:7197		PATO:0000586															
MIM:133540		MIM:609413			ERCC6	HP:0002309																			
MIM:133540		MIM:609413			ERCC6	HP:0002343																			
MIM:133540		MIM:609413			ERCC6	HP:0002545																			
MIM:133540		MIM:609413			ERCC6	HP:0002684		FMA:52800		PATO:0000591															
MIM:133540		MIM:609413			ERCC6	HP:0002808				PATO:0001468									PATO:0001869						
MIM:133540		MIM:609413			ERCC6	HP:0002866																			
MIM:133540		MIM:609413			ERCC6	HP:0003101																			
MIM:133540		MIM:609413			ERCC6	HP:0003130																			
MIM:133540		MIM:609413			ERCC6	HP:0003151																			
MIM:133540		MIM:609413			ERCC6	HP:0003224																			
MIM:133540		MIM:609413			ERCC6	HP:0003278																			
MIM:133540		MIM:609413			ERCC6	HP:0003469																			
MIM:133540		MIM:609413			ERCC6	HP:0003758		FMA:74315		PATO:0001999		FMA:74315													
MIM:133540		MIM:609413			ERCC6	HP:0004334		FMA:7163		PATO:0001623															
MIM:133540		MIM:609413			ERCC6	HP:0007346																			
MIM:133540		MIM:609413			ERCC6	HP:0007352		FMA:67944		PATO:0001447															
MIM:133540		MIM:609413			ERCC6	HP:0007495																			
MIM:133540		MIM:609413			ERCC6	HP:0007676		FMA:58235		PATO:0000645															
MIM:133540		MIM:609413			ERCC6	HP:0010234																			
