Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000006	Autosomal dominant inheritance																	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000280	Coarse facial features											54%					PMID:9096761	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000175	Cleft palate											5%					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=bcns	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000204	Cleft lip											5%					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=bcns	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000316	Hypertelorism											42%					PMID:9096761	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000424	Broad nasal root																	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000486	Strabismus											5%					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=bcns	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000518	Cataract											5%					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=bcns	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000612	Iris coloboma																	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000892	Bifid ribs											26%					PMID:9096761	17.02.2009	
