Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
OMIM:602782	#602782 HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME;;HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS, CARDIAC,AND/OR ENDOCRINE FEATURES, JOINT CONTRACTURES, AND/OR DEAFNESS;;HYPERPIGMENTATION, CUTANEOUS, WITH HYPERTRICHOSIS, HEPATOSPLENOMEGALY,HEART ANOMALIES, AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS;;H SYNDROME;;PIGMENTED HYPERTRICHOSIS WITH INSULIN-DEPENDENT DIABETES MELLITUS;PHID;;HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS;HJCD;;FAISALABAD HISTIOCYTOSIS;;ROSAI-DORFMAN DISEASE, FAMILIAL;;SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY; SHML					HP:0002240	Hepatomegaly			IEA	IEA						OMIM-CS:ABDOMEN_LIVER > HEPATOMEGALY	OMIM:602782	HPO:skoehler	17.10.2012
OMIM:602782	#602782 HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME;;HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS, CARDIAC,AND/OR ENDOCRINE FEATURES, JOINT CONTRACTURES, AND/OR DEAFNESS;;HYPERPIGMENTATION, CUTANEOUS, WITH HYPERTRICHOSIS, HEPATOSPLENOMEGALY,HEART ANOMALIES, AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS;;H SYNDROME;;PIGMENTED HYPERTRICHOSIS WITH INSULIN-DEPENDENT DIABETES MELLITUS;PHID;;HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS;HJCD;;FAISALABAD HISTIOCYTOSIS;;ROSAI-DORFMAN DISEASE, FAMILIAL;;SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY; SHML					HP:0001744	Splenomegaly			IEA	IEA						OMIM-CS:ABDOMEN_SPLEEN > SPLENOMEGALY	OMIM:602782	HPO:skoehler	17.10.2012
OMIM:602782	#602782 HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME;;HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS, CARDIAC,AND/OR ENDOCRINE FEATURES, JOINT CONTRACTURES, AND/OR DEAFNESS;;HYPERPIGMENTATION, CUTANEOUS, WITH HYPERTRICHOSIS, HEPATOSPLENOMEGALY,HEART ANOMALIES, AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS;;H SYNDROME;;PIGMENTED HYPERTRICHOSIS WITH INSULIN-DEPENDENT DIABETES MELLITUS;PHID;;HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS;HJCD;;FAISALABAD HISTIOCYTOSIS;;ROSAI-DORFMAN DISEASE, FAMILIAL;;SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY; SHML					HP:0000824	Growth hormone deficiency			IEA	IEA						OMIM-CS:ENDOCRINE FEATURES > GROWTH HORMONE DEFICIENCY	OMIM:602782	HPO:skoehler	17.10.2012
OMIM:602782	#602782 HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME;;HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS, CARDIAC,AND/OR ENDOCRINE FEATURES, JOINT CONTRACTURES, AND/OR DEAFNESS;;HYPERPIGMENTATION, CUTANEOUS, WITH HYPERTRICHOSIS, HEPATOSPLENOMEGALY,HEART ANOMALIES, AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS;;H SYNDROME;;PIGMENTED HYPERTRICHOSIS WITH INSULIN-DEPENDENT DIABETES MELLITUS;PHID;;HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS;HJCD;;FAISALABAD HISTIOCYTOSIS;;ROSAI-DORFMAN DISEASE, FAMILIAL;;SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY; SHML					HP:0000815	Hypergonadotropic hypogonadism			IEA	IEA						OMIM-CS:ENDOCRINE FEATURES > HYPERGONADOTROPIC HYPOGONADISM	OMIM:602782	HPO:skoehler	17.10.2012
OMIM:602782	#602782 HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME;;HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS, CARDIAC,AND/OR ENDOCRINE FEATURES, JOINT CONTRACTURES, AND/OR DEAFNESS;;HYPERPIGMENTATION, CUTANEOUS, WITH HYPERTRICHOSIS, HEPATOSPLENOMEGALY,HEART ANOMALIES, AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS;;H SYNDROME;;PIGMENTED HYPERTRICHOSIS WITH INSULIN-DEPENDENT DIABETES MELLITUS;PHID;;HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS;HJCD;;FAISALABAD HISTIOCYTOSIS;;ROSAI-DORFMAN DISEASE, FAMILIAL;;SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY; SHML					HP:0004322	Short stature			IEA	IEA						OMIM-CS:GROWTH_HEIGHT > SHORT STATURE	OMIM:602782	HPO:skoehler	17.10.2012
OMIM:602782	#602782 HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME;;HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS, CARDIAC,AND/OR ENDOCRINE FEATURES, JOINT CONTRACTURES, AND/OR DEAFNESS;;HYPERPIGMENTATION, CUTANEOUS, WITH HYPERTRICHOSIS, HEPATOSPLENOMEGALY,HEART ANOMALIES, AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS;;H SYNDROME;;PIGMENTED HYPERTRICHOSIS WITH INSULIN-DEPENDENT DIABETES MELLITUS;PHID;;HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS;HJCD;;FAISALABAD HISTIOCYTOSIS;;ROSAI-DORFMAN DISEASE, FAMILIAL;;SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY; SHML					HP:0100534	Episcleritis			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > EPISCLERITIS	OMIM:602782	HPO:skoehler	17.10.2012
OMIM:602782	#602782 HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME;;HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS, CARDIAC,AND/OR ENDOCRINE FEATURES, JOINT CONTRACTURES, AND/OR DEAFNESS;;HYPERPIGMENTATION, CUTANEOUS, WITH HYPERTRICHOSIS, HEPATOSPLENOMEGALY,HEART ANOMALIES, AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS;;H SYNDROME;;PIGMENTED HYPERTRICHOSIS WITH INSULIN-DEPENDENT DIABETES MELLITUS;PHID;;HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS;HJCD;;FAISALABAD HISTIOCYTOSIS;;ROSAI-DORFMAN DISEASE, FAMILIAL;;SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY; SHML					HP:0000520	Proptosis			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > EXOPHTHALMOS	OMIM:602782	HPO:skoehler	17.10.2012
OMIM:602782	#602782 HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME;;HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS, CARDIAC,AND/OR ENDOCRINE FEATURES, JOINT CONTRACTURES, AND/OR DEAFNESS;;HYPERPIGMENTATION, CUTANEOUS, WITH HYPERTRICHOSIS, HEPATOSPLENOMEGALY,HEART ANOMALIES, AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS;;H SYNDROME;;PIGMENTED HYPERTRICHOSIS WITH INSULIN-DEPENDENT DIABETES MELLITUS;PHID;;HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS;HJCD;;FAISALABAD HISTIOCYTOSIS;;ROSAI-DORFMAN DISEASE, FAMILIAL;;SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY; SHML					HP:0000007	Autosomal recessive inheritance			IEA	IEA						OMIM-CS:INHERITANCE > AUTOSOMAL RECESSIVE	OMIM:602782	HPO:skoehler	17.10.2012
OMIM:602782	#602782 HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME;;HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS, CARDIAC,AND/OR ENDOCRINE FEATURES, JOINT CONTRACTURES, AND/OR DEAFNESS;;HYPERPIGMENTATION, CUTANEOUS, WITH HYPERTRICHOSIS, HEPATOSPLENOMEGALY,HEART ANOMALIES, AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS;;H SYNDROME;;PIGMENTED HYPERTRICHOSIS WITH INSULIN-DEPENDENT DIABETES MELLITUS;PHID;;HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS;HJCD;;FAISALABAD HISTIOCYTOSIS;;ROSAI-DORFMAN DISEASE, FAMILIAL;;SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY; SHML					HP:0001945	Fever			IEA	IEA						OMIM-CS:METABOLIC FEATURES > FEVER	OMIM:602782	HPO:skoehler	17.10.2012
OMIM:602782	#602782 HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME;;HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS, CARDIAC,AND/OR ENDOCRINE FEATURES, JOINT CONTRACTURES, AND/OR DEAFNESS;;HYPERPIGMENTATION, CUTANEOUS, WITH HYPERTRICHOSIS, HEPATOSPLENOMEGALY,HEART ANOMALIES, AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS;;H SYNDROME;;PIGMENTED HYPERTRICHOSIS WITH INSULIN-DEPENDENT DIABETES MELLITUS;PHID;;HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS;HJCD;;FAISALABAD HISTIOCYTOSIS;;ROSAI-DORFMAN DISEASE, FAMILIAL;;SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY; SHML					HP:0001822	Hallux valgus			IEA	IEA						OMIM-CS:SKELETAL_FEET > HALLUX VALGUS	OMIM:602782	HPO:skoehler	17.10.2012
