Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0000006	Autosomal dominant inheritance			TAS	TAS							MIM:607684	HPO:probinson	Feb 17, 2009	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0001178	Ulnar claw			TAS	TAS							MIM:607684	HPO:probinson	Feb 17, 2009	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0001265	Hyporeflexia			TAS	TAS							MIM:607684	HPO:probinson	Feb 17, 2009	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0001284	Areflexia			TAS	TAS							MIM:607684	HPO:probinson	Feb 17, 2009	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0001761	Pes cavus			TAS	TAS							MIM:607684	HPO:probinson	Feb 17, 2009	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0001765	Hammertoe			TAS	TAS							MIM:607684	HPO:probinson	Feb 17, 2009	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0002936	Distal sensory impairment			TAS	TAS							MIM:607684	HPO:probinson	Feb 17, 2009	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0003376	Steppage gait			TAS	TAS							MIM:607684	HPO:probinson	Feb 17, 2009	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0003377	Foot drop			TAS	TAS							MIM:607684	HPO:probinson	Feb 17, 2009	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0003693	Distal amyotrophy			TAS	TAS							MIM:607684	HPO:probinson	Feb 17, 2009	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0006006	Hypotrophy of the small hand muscles			TAS	TAS							MIM:607684	HPO:probinson	Feb 17, 2009	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0003431	Decreased motor nerve conduction velocity			TAS	TAS						Mild	MIM:607684	HPO:probinson	Mar 12, 2012	
MIM:607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E	MIM:162280	NEUROFILAMENT PROTEIN, LIGHT POLYPEPTIDE		NEFL	HP:0002460	Distal muscle weakness			TAS	TAS							MIM:607684	HPO:probinson	Dec 14, 2013	
