Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000006	Autosomal dominant inheritance											PCS						MIM:109400	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000280	Coarse facial features											PCS	54%					PMID:9096761	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000175	Cleft palate											PCS	5%					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=bcns	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000204	Cleft lip											PCS	5%					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=bcns	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000316	Hypertelorism											PCS	42%					PMID:9096761	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000486	Strabismus											PCS	5%					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=bcns	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000518	Cataract											PCS	5%					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=bcns	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0000892	Bifid ribs											PCS	26%					PMID:9096761	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0005815	Supernumerary ribs											PCS	very rare					MIM:109400	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0002130	Delayed motor milestones									HP:0003580	Onset in early childhood	PCS	frequent					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=bcns	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0010617	Cardiac fibroma											PCS	20%					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=bcns	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0002650	Scoliosis											PCS	rare					MIM:109400	17.02.2009	
MIM:109400	BASAL CELL NEVUS SYNDROME GORLIN-GOLTZ SYNDROME NEVOID BASAL CELL CARCINOMA SYNDROME MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES			MIM:601309 / wt; MIM:603673 / wt 	PTCH1; PTCH2	HP:0002885	Medulloblastoma									HP:0003580	Onset in early childhood	PCS	5%					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=bcns	17.02.2009	
