Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME	MIM:602858	7-@DEHYDROCHOLESTEROL REDUCTASE	MIM602858 / MIM602858	DHCR7	HP:0000007	Autosomal recessive inheritance																		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME					HP:0000028	Cryptorchidism											50%					PMID: 9024558		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME					HP:0000062	Ambiguous genitalia	FMA:20394	Human body	HP:0000062	Ambiguous genitalia							9/196					PMID: 9024558		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME					HP:0000046	Scrotal hypoplasia	FMA:18252	Scrotum	PATO:0000645	hypoplastic							frequent					PMID: 9024558		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME					HP:0000047	Hypospadias	FMA:19650^OBO_REL:part_of(FMA:67811)	External urethral orifice that part_of FMA:67811	PATO:0001920	mislocalised ventrally							50%					PMID: 9024558		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME					HP:0000048	Bifid scrotum	FMA:18252	Scrotum	PATO:0000403	cleft							occasional					PMID: 9024558		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME					HP:0000054	Micropenis	FMA:9707	Penis	PATO:0000587	decreased size							typical					PMID: 9024558		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME					HP:0000088	Cystic kidney	FMA:7203	Kidney	PATO:0001673	cystic							occasional					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=slo		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME					HP:0000089	Renal hypoplasia	FMA:7203	Kidney	PATO:0001749	paedomorphic growth							occasional					http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=slo		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME					HP:0000126	Hydronephrosis	FMA:15575	Renal pelvis	PATO:0001571	dilated							frequent					ISBN-13: 978-0721606156		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME					HP:0000175	Cleft palate	FMA:54549	Palate	PATO:0000403	cleft							77/164					PMID: 10807690		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME					HP:0000187	Broad alveolar ridges											typical					ISBN-13: 978-0721606156		
MIM:270400	SMITH-LEMLI-OPITZ SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME					HP:0000210	Micrognathia	FMA:54396	Jaw	PATO:0000587	decreased size							typical					ISBN-13: 978-0721606156		
