Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
OMIM:191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, ANDBRACHYDACTYLY					HP:0000006	Autosomal dominant inheritance			IEA	IEA							OMIM:191482	HPO	17.02.2009
OMIM:191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, ANDBRACHYDACTYLY					HP:0000047	Hypospadias			IEA	IEA							OMIM:191482	HPO	17.02.2009
OMIM:191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, ANDBRACHYDACTYLY					HP:0000677	Oligodontia			IEA	IEA							OMIM:191482	HPO	17.02.2009
OMIM:191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, ANDBRACHYDACTYLY					HP:0000691	Microdontia			IEA	IEA							OMIM:191482	HPO	17.02.2009
OMIM:191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, ANDBRACHYDACTYLY					HP:0001118	Juvenile cataract			IEA	IEA							OMIM:191482	HPO	17.02.2009
OMIM:191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, ANDBRACHYDACTYLY					HP:0001831	Brachydactyly of the foot			IEA	IEA							OMIM:191482	HPO	17.02.2009
OMIM:191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, ANDBRACHYDACTYLY					HP:0002235	Pili canaliculi			IEA	IEA							OMIM:191482	HPO	17.02.2009
OMIM:191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, ANDBRACHYDACTYLY					HP:0008036	Retinal pigmentary dystrophy			IEA	IEA							OMIM:191482	HPO	17.02.2009
OMIM:191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, ANDBRACHYDACTYLY					HP:0010049	Short metacarpal			IEA	IEA							OMIM:191482	HPO	17.02.2009
OMIM:191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, ANDBRACHYDACTYLY					HP:0010241	Hypoplasia of the proximal phalanges of the hand			IEA	IEA							OMIM:191482	HPO	17.02.2009
OMIM:191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, ANDBRACHYDACTYLY					HP:0011069	Increased number of teeth			IEA	IEA							OMIM:191482	HPO	17.02.2009
