Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0000408	Progressive sensorineural hearing impairment			IEA	IEA							OMIM:540000	HPO	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0000519	Congenital cataract			IEA	IEA							OMIM:540000	HPO	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0000726	Dementia			IEA	IEA							OMIM:540000	HPO	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0001269	Hemiparesis			IEA	IEA							OMIM:540000	HPO	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0001298	Encephalopathy			IEA	IEA							OMIM:540000	HPO	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0001427	Mitochondrial inheritance			IEA	IEA							OMIM:540000	HPO	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0001507	Growth abnormality			IEA	IEA							OMIM:540000	HPO	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0002069	Generalized tonic-clonic seizures			TAS	TAS							OMIM:540000	HPO:skoehler	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0002076	Migraine			IEA	IEA							OMIM:540000	HPO	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0002401	Stroke-like episodes			IEA	IEA							OMIM:540000	HPO	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0002572	Episodic vomiting			IEA	IEA							OMIM:540000	HPO	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0003128	Lactic acidosis			TAS	TAS							OMIM:540000	HPO:probinson	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0003198	Myopathy			IEA	IEA							OMIM:540000	HPO	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0003200	Ragged-red muscle fibers			TAS	TAS							OMIM:540000	HPO:probinson	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0003737	Mitochondrial myopathy			TAS	TAS							OMIM:540000	HPO:skoehler	17.02.2009	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0008619	Bilateral sensorineural hearing impairment			IEA	IEA							OMIM:540000	HPO:skoehler	20.06.2010	
OMIM:540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES					HP:0100704	Cortical visual impairment			IEA	IEA							OMIM:540000	HPO	17.02.2009	
